Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1340803,-,-,-,42.33,-71.02,-5,0,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),
2006,1,1,0,30,0,0,0,0,0,0,7,0,158.75,0,0.039,0.9,1.22,39.900000000000006,94.71000000000001,0,1000,0.0000,0.0000,N/A
2006,1,1,1,30,0,0,0,0,0,0,7,0,151.25,0,0.039,0.9,1.206,33.5,93.5,0,1000,0.0000,0.0000,N/A
2006,1,1,2,30,0,0,0,0,0,0,7,-1,141.23,0,0.039,0.9,1.18,26.1,91.8,0,1010,0.0000,0.0000,N/A
2006,1,1,3,30,0,0,0,0,0,0,7,-1,130.35,0,0.039,0.9,1.1460000000000001,20.3,89.65,0,1010,0.0000,0.0000,N/A
2006,1,1,4,30,0,0,0,0,0,0,4,-1,119.27,0,0.039,1,1.111,18.900000000000002,93.65,0,1010,0.0000,0.0000,N/A
2006,1,1,5,30,0,0,0,0,0,0,4,-2,108.37,0,0.039,0.9,1.071,18.400000000000002,90.26,-1,1010,0.0000,0.0000,N/A
2006,1,1,6,30,0,0,0,0,0,0,4,-2,97.92,0,0.039,0.9,1.026,16.900000000000002,93.21000000000001,-1,1010,0.0000,0.0000,N/A
2006,1,1,7,30,2,0,2,11,13,11,4,-3,88.22,4,0.039,0.8,0.984,13,89.57000000000001,-2,1010,0.0000,0.0000,N/A
2006,1,1,8,30,30,0,30,83,225,123,4,-3,79.63,4,0.039,0.6000000000000001,0.9480000000000001,9,87.5,-1,1010,1.4299,1.0901,N/A
2006,1,1,9,30,53,0,53,123,414,247,4,-3,72.62,4,0.039,0.5,0.922,3.7,80.11,-1,1010,2.6487,2.0436,N/A
2006,1,1,10,30,70,0,70,139,528,339,4,-4,67.72,0,0.039,0.4,0.909,355.40000000000003,79.47,0,1010,3.6548,2.8377,N/A
2006,1,1,11,30,80,0,80,144,573,383,4,-4,65.43,0,0.039,0.4,0.905,343.3,73.74,0,1010,4.2534,3.3095,N/A
2006,1,1,12,30,73,0,73,137,582,374,4,-4,66.02,0,0.039,0.30000000000000004,0.907,324.70000000000005,74.19,0,1010,3.8638,3.0048,N/A
2006,1,1,13,30,77,0,77,123,537,312,4,-3,69.43,4,0.039,0.30000000000000004,0.912,304.8,75.66,0,1010,3.9619,3.0702,N/A
2006,1,1,14,30,55,0,55,97,435,207,4,-3,75.25,4,0.039,0.30000000000000004,0.911,293.1,77.60000000000001,0,1010,2.6837,2.0615,N/A
2006,1,1,15,30,21,0,21,51,241,80,4,-3,82.96000000000001,4,0.039,0.30000000000000004,0.907,293.7,79.07000000000001,0,1010,0.0000,0.0000,N/A
2006,1,1,16,30,0,0,0,0,0,0,4,-3,92.05,0,0.039,0.30000000000000004,0.905,276.7,83.35000000000001,-1,1010,0.0000,0.0000,N/A
2006,1,1,17,30,0,0,0,0,0,0,4,-3,102.10000000000001,0,0.039,0.2,0.905,252.3,82.98,-1,1010,0.0000,0.0000,N/A
2006,1,1,18,30,0,0,0,0,0,0,4,-3,112.77,0,0.039,0.2,0.904,209,83.14,-1,1020,0.0000,0.0000,N/A
2006,1,1,19,30,0,0,0,0,0,0,4,-3,123.77,0,0.039,0.30000000000000004,0.907,185.8,83.78,-1,1020,0.0000,0.0000,N/A
2006,1,1,20,30,0,0,0,0,0,0,4,-3,134.81,0,0.039,0.30000000000000004,0.917,185.20000000000002,85.08,-1,1020,0.0000,0.0000,N/A
2006,1,1,21,30,0,0,0,0,0,0,4,-2,145.45000000000002,0,0.039,0.30000000000000004,0.932,182.20000000000002,86.77,-1,1020,0.0000,0.0000,N/A
2006,1,1,22,30,0,0,0,0,0,0,4,-2,154.72,0,0.039,0.30000000000000004,0.9500000000000001,193.4,88.77,-1,1020,0.0000,0.0000,N/A
2006,1,1,23,30,0,0,0,0,0,0,4,-2,160.24,0,0.039,0.4,0.966,215.5,91.13,0,1020,0.0000,0.0000,N/A
2006,1,2,0,30,0,0,0,0,0,0,4,-1,158.71,0,0.039,0.5,0.992,219.20000000000002,86.92,0,1020,0.0000,0.0000,N/A
2006,1,2,1,30,0,0,0,0,0,0,4,-1,151.26,0,0.039,0.5,1.055,222.8,88.95,0,1020,0.0000,0.0000,N/A
2006,1,2,2,30,0,0,0,0,0,0,4,-1,141.26,0,0.039,0.5,1.156,232.9,91.2,0,1020,0.0000,0.0000,N/A
2006,1,2,3,30,0,0,0,0,0,0,4,-1,130.38,0,0.039,0.5,1.248,244.20000000000002,92.66,0,1020,0.0000,0.0000,N/A
2006,1,2,4,30,0,0,0,0,0,0,4,0,119.31,0,0.039,0.5,1.306,260.5,93.42,0,1020,0.0000,0.0000,N/A
2006,1,2,5,30,0,0,0,0,0,0,1,-1,108.4,0,0.039,0.5,1.344,278.3,92.96000000000001,0,1020,0.0000,0.0000,N/A
2006,1,2,6,30,0,0,0,0,0,0,4,-1,97.94,0,0.039,0.6000000000000001,1.365,294.3,91.87,0,1020,0.0000,0.0000,N/A
2006,1,2,7,30,12,43,14,12,43,14,1,-1,88.22,0,0.039,0.5,1.367,306.1,91.34,0,1020,0.0000,0.0000,N/A
2006,1,2,8,30,70,335,131,70,335,131,0,0,79.62,0,0.039,0.5,1.364,315.8,94.13,0,1020,6.2439,4.7603,N/A
2006,1,2,9,30,105,0,105,101,513,254,4,0,72.59,0,0.039,0.4,1.364,330.90000000000003,91.05,1,1020,5.2489,4.0500,N/A
2006,1,2,10,30,123,0,123,81,742,363,8,0,67.66,0,0.039,0.30000000000000004,1.361,338.90000000000003,86.47,3,1020,6.4253,4.9890,N/A
2006,1,2,11,30,154,13,160,86,765,406,4,0,65.34,0,0.039,0.30000000000000004,1.361,329.20000000000005,80.73,4,1020,8.5126,6.6240,N/A
2006,1,2,12,30,176,159,241,90,741,392,4,0,65.92,0,0.039,0.2,1.368,288.2,75.11,4,1020,12.7656,9.9285,N/A
2006,1,2,13,30,145,69,169,77,721,332,4,0,69.31,0,0.039,0.2,1.3780000000000001,259.5,77.29,4,1020,8.7048,6.7466,N/A
2006,1,2,14,30,82,388,182,65,613,223,7,0,75.12,0,0.039,0.5,1.409,122.7,83.19,3,1020,8.8905,6.8309,N/A
2006,1,2,15,30,46,100,59,42,374,88,7,0,82.83,4,0.039,0.8,1.482,120.30000000000001,85.06,2,1020,0.0000,0.0000,N/A
2006,1,2,16,30,0,0,0,0,0,0,7,0,91.91,0,0.039,0.8,1.58,131,83.23,2,1020,0.0000,0.0000,N/A
2006,1,2,17,30,0,0,0,0,0,0,6,0,101.96000000000001,0,0.039,0.7000000000000001,1.673,135.1,90.62,1,1020,0.0000,0.0000,N/A
2006,1,2,18,30,0,0,0,0,0,0,7,0,112.63,0,0.039,0.6000000000000001,1.75,125.5,92.37,1,1020,0.0000,0.0000,N/A
2006,1,2,19,30,0,0,0,0,0,0,7,0,123.63000000000001,0,0.039,0.6000000000000001,1.813,125.10000000000001,94.23,1,1020,0.0000,0.0000,N/A
2006,1,2,20,30,0,0,0,0,0,0,7,0,134.67000000000002,0,0.039,0.5,1.856,111.30000000000001,95.97,1,1020,0.0000,0.0000,N/A
2006,1,2,21,30,0,0,0,0,0,0,7,0,145.31,0,0.039,0.5,1.867,110.4,97.67,1,1020,0.0000,0.0000,N/A
2006,1,2,22,30,0,0,0,0,0,0,6,0,154.58,0,0.039,0.5,1.859,108.5,100,1,1020,0.0000,0.0000,N/A
2006,1,2,23,30,0,0,0,0,0,0,6,0,160.13,0,0.039,0.6000000000000001,1.845,100.4,100,1,1020,0.0000,0.0000,N/A
2006,1,3,0,30,0,0,0,0,0,0,6,0,158.66,0,0.039,0.6000000000000001,1.831,98.10000000000001,100,1,1020,0.0000,0.0000,N/A
2006,1,3,1,30,0,0,0,0,0,0,6,0,151.26,0,0.039,0.7000000000000001,1.826,85.9,100,1,1010,0.0000,0.0000,N/A
2006,1,3,2,30,0,0,0,0,0,0,6,0,141.28,0,0.039,0.8,1.831,79.10000000000001,100,1,1010,0.0000,0.0000,N/A
2006,1,3,3,30,0,0,0,0,0,0,6,0,130.41,0,0.039,0.9,1.835,76.7,100,1,1010,0.0000,0.0000,N/A
2006,1,3,4,30,0,0,0,0,0,0,6,1,119.34,0,0.039,0.9,1.826,79.2,100,1,1010,0.0000,0.0000,N/A
2006,1,3,5,30,0,0,0,0,0,0,6,1,108.42,0,0.039,1,1.811,79.10000000000001,100,1,1010,0.0000,0.0000,N/A
2006,1,3,6,30,0,0,0,0,0,0,6,1,97.95,0,0.039,1.1,1.804,75.3,100,1,1010,0.0000,0.0000,N/A
2006,1,3,7,30,9,0,9,14,58,16,6,1,88.22,4,0.039,1.1,1.799,72.10000000000001,100,1,1010,0.0000,0.0000,N/A
2006,1,3,8,30,11,0,11,63,386,133,6,1,79.61,0,0.039,1.2000000000000002,1.793,72.4,100,2,1010,0.5243,0.3997,N/A
2006,1,3,9,30,13,0,13,89,558,256,6,1,72.55,0,0.039,1.2000000000000002,1.786,71.7,95.83,2,1010,0.6501,0.5017,N/A
2006,1,3,10,30,47,0,47,107,624,345,7,1,67.6,0,0.039,1.2000000000000002,1.7770000000000001,66.60000000000001,100,2,1010,2.4564,1.9074,N/A
