Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1340803,-,-,-,42.33,-71.02,-5,0,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),
2009,1,1,0,30,0,0,0,0,0,0,4,-15,158.74,0,0.866,1.7000000000000002,0.251,317.5,77.14,-11,1000,0.0000,0.0000,N/A
2009,1,1,1,30,0,0,0,0,0,0,4,-15,151.25,0,0.866,1.7000000000000002,0.23700000000000002,316.6,75.43,-12,1000,0.0000,0.0000,N/A
2009,1,1,2,30,0,0,0,0,0,0,4,-15,141.24,0,0.866,1.7000000000000002,0.227,314.6,74.18,-12,1010,0.0000,0.0000,N/A
2009,1,1,3,30,0,0,0,0,0,0,4,-15,130.36,0,0.866,1.6,0.222,313,79.76,-12,1010,0.0000,0.0000,N/A
2009,1,1,4,30,0,0,0,0,0,0,4,-15,119.28,0,0.866,1.6,0.219,311.5,79.56,-13,1010,0.0000,0.0000,N/A
2009,1,1,5,30,0,0,0,0,0,0,4,-15,108.38,0,0.866,1.6,0.215,310,79.37,-13,1010,0.0000,0.0000,N/A
2009,1,1,6,30,0,0,0,0,0,0,4,-15,97.92,0,0.866,1.6,0.20800000000000002,309.20000000000005,79.19,-13,1010,0.0000,0.0000,N/A
2009,1,1,7,30,15,252,23,15,252,23,1,-15,88.22,0,0.866,1.6,0.199,308.1,79.07000000000001,-12,1010,0.0000,0.0000,N/A
2009,1,1,8,30,47,679,170,47,679,170,0,-15,79.63,0,0.866,1.6,0.19,306.90000000000003,73.82000000000001,-11,1010,8.1028,6.1774,N/A
2009,1,1,9,30,65,833,314,65,833,314,1,-15,72.61,0,0.866,1.6,0.185,306.2,70.09,-10,1010,15.6937,12.1089,N/A
2009,1,1,10,30,80,886,416,80,886,416,1,-14,67.71000000000001,0,0.866,1.6,0.184,306.2,67.63,-9,1010,21.7220,16.8653,N/A
2009,1,1,11,30,62,817,402,83,917,465,4,-14,65.4,0,0.866,1.6,0.187,306.1,60.79,-8,1010,21.3782,16.6346,N/A
2009,1,1,12,30,66,785,385,81,912,452,4,-13,65.99,0,0.866,1.6,0.197,304.90000000000003,64.06,-7,1010,20.3821,15.8514,N/A
2009,1,1,13,30,75,664,309,80,847,378,4,-13,69.39,0,0.866,1.5,0.21,303,62.21,-7,1010,15.9048,12.3257,N/A
2009,1,1,14,30,61,562,205,63,761,257,4,-12,75.22,0,0.866,1.5,0.223,301.6,64.71000000000001,-7,1010,10.0054,7.6861,N/A
2009,1,1,15,30,37,555,106,37,555,106,0,-12,82.93,0,0.866,1.4000000000000001,0.232,301.1,66.47,-7,1010,0.0000,0.0000,N/A
2009,1,1,16,30,0,0,0,0,0,0,4,-12,92.02,0,0.866,1.4000000000000001,0.23900000000000002,301.3,72.54,-7,1010,0.0000,0.0000,N/A
2009,1,1,17,30,0,0,0,0,0,0,4,-12,102.06,0,0.866,1.3,0.245,301.8,72.54,-8,1010,0.0000,0.0000,N/A
2009,1,1,18,30,0,0,0,0,0,0,4,-12,112.73,0,0.866,1.3,0.256,302,72.13,-8,1020,0.0000,0.0000,N/A
2009,1,1,19,30,0,0,0,0,0,0,4,-12,123.73,0,0.866,1.2000000000000002,0.28,302.1,76.78,-8,1010,0.0000,0.0000,N/A
2009,1,1,20,30,0,0,0,0,0,0,4,-12,134.78,0,0.866,1.2000000000000002,0.319,301.3,75.8,-9,1010,0.0000,0.0000,N/A
2009,1,1,21,30,0,0,0,0,0,0,4,-12,145.41,0,0.866,1.2000000000000002,0.366,300.2,74.47,-9,1010,0.0000,0.0000,N/A
2009,1,1,22,30,0,0,0,0,0,0,4,-12,154.68,0,0.866,1.1,0.403,299.7,74.29,-9,1010,0.0000,0.0000,N/A
2009,1,1,23,30,0,0,0,0,0,0,1,-12,160.21,0,0.866,1.1,0.423,298,74.99,-9,1010,0.0000,0.0000,N/A
2009,1,2,0,30,0,0,0,0,0,0,1,-12,158.70000000000002,0,0.866,1,0.439,294.2,75.93,-9,1010,0.0000,0.0000,N/A
2009,1,2,1,30,0,0,0,0,0,0,1,-12,151.26,0,0.866,0.9,0.459,288.3,77.2,-9,1010,0.0000,0.0000,N/A
2009,1,2,2,30,0,0,0,0,0,0,4,-12,141.26,0,0.866,0.9,0.487,281.8,78.36,-9,1010,0.0000,0.0000,N/A
2009,1,2,3,30,0,0,0,0,0,0,1,-11,130.39000000000001,0,0.866,0.8,0.508,274.1,79.13,-9,1010,0.0000,0.0000,N/A
2009,1,2,4,30,0,0,0,0,0,0,4,-11,119.32000000000001,0,0.866,0.8,0.506,265.7,79.77,-9,1010,0.0000,0.0000,N/A
2009,1,2,5,30,0,0,0,0,0,0,7,-11,108.41,0,0.866,0.7000000000000001,0.486,254.60000000000002,80.45,-8,1010,0.0000,0.0000,N/A
2009,1,2,6,30,0,0,0,0,0,0,7,-11,97.94,0,0.866,0.7000000000000001,0.482,239.3,75.22,-8,1010,0.0000,0.0000,N/A
2009,1,2,7,30,10,0,10,16,125,20,7,-11,88.22,4,0.866,0.6000000000000001,0.515,224.60000000000002,71.36,-7,1010,0.0000,0.0000,N/A
2009,1,2,8,30,63,4,64,63,504,153,7,-10,79.62,0,0.866,0.6000000000000001,0.5670000000000001,214.20000000000002,70.75,-5,1010,3.0505,2.3256,N/A
2009,1,2,9,30,103,0,103,90,665,289,6,-9,72.58,0,0.866,0.6000000000000001,0.609,210.3,65.5,-4,1010,5.1494,3.9733,N/A
2009,1,2,10,30,130,0,130,115,706,383,6,-8,67.65,0,0.866,0.7000000000000001,0.661,212.9,67.54,-3,1010,6.7915,5.2734,N/A
2009,1,2,11,30,161,25,172,116,751,430,7,-6,65.32000000000001,0,0.866,0.8,0.762,217.70000000000002,67.84,-1,1010,9.1524,7.1220,N/A
2009,1,2,12,30,175,91,212,125,708,414,7,-4,65.89,0,0.866,0.8,0.9,219.10000000000002,73.22,0,1000,11.2321,8.7361,N/A
2009,1,2,13,30,131,339,251,137,568,338,7,-2,69.27,0,0.866,0.8,1,221.70000000000002,81.93,0,1000,12.9330,10.0241,N/A
2009,1,2,14,30,100,177,146,117,404,221,7,-1,75.09,0,0.866,0.8,1.029,227.4,88.04,0,1000,7.1338,5.4815,N/A
2009,1,2,15,30,50,50,56,59,211,85,7,-1,82.79,4,0.866,0.8,0.992,237.10000000000002,90.69,0,1000,0.0000,0.0000,N/A
2009,1,2,16,30,0,0,0,0,0,0,7,-1,91.88,0,0.866,0.8,0.897,245.60000000000002,89.77,0,1000,0.0000,0.0000,N/A
2009,1,2,17,30,0,0,0,0,0,0,6,-1,101.92,0,0.866,0.8,0.779,253.4,86.85000000000001,0,1000,0.0000,0.0000,N/A
2009,1,2,18,30,0,0,0,0,0,0,7,-2,112.59,0,0.866,0.8,0.6890000000000001,260,90,-1,1000,0.0000,0.0000,N/A
2009,1,2,19,30,0,0,0,0,0,0,4,-2,123.59,0,0.866,0.9,0.629,263,87.43,-1,1000,0.0000,0.0000,N/A
2009,1,2,20,30,0,0,0,0,0,0,4,-3,134.64000000000001,0,0.866,0.9,0.586,262.2,91.98,-2,1000,0.0000,0.0000,N/A
2009,1,2,21,30,0,0,0,0,0,0,4,-3,145.27,0,0.866,0.9,0.5690000000000001,263.90000000000003,89.62,-2,1000,0.0000,0.0000,N/A
2009,1,2,22,30,0,0,0,0,0,0,4,-3,154.54,0,0.866,0.8,0.587,261.1,94.66,-3,1000,0.0000,0.0000,N/A
2009,1,2,23,30,0,0,0,0,0,0,4,-3,160.1,0,0.866,0.8,0.631,255.3,92.99,-3,1000,0.0000,0.0000,N/A
2009,1,3,0,30,0,0,0,0,0,0,4,-3,158.65,0,0.866,0.7000000000000001,0.687,253,86.74,-2,1000,0.0000,0.0000,N/A
2009,1,3,1,30,0,0,0,0,0,0,7,-3,151.26,0,0.866,0.6000000000000001,0.729,256.2,88.78,-2,1000,0.0000,0.0000,N/A
2009,1,3,2,30,0,0,0,0,0,0,7,-3,141.28,0,0.866,0.6000000000000001,0.738,261.8,90.7,-1,1000,0.0000,0.0000,N/A
2009,1,3,3,30,0,0,0,0,0,0,7,-2,130.42000000000002,0,0.866,0.8,0.721,266.6,86.59,-1,1000,0.0000,0.0000,N/A
2009,1,3,4,30,0,0,0,0,0,0,4,-2,119.34,0,0.866,0.9,0.677,284,87.04,-1,1000,0.0000,0.0000,N/A
2009,1,3,5,30,0,0,0,0,0,0,4,-3,108.43,0,0.866,1,0.592,299,85.67,-1,1000,0.0000,0.0000,N/A
2009,1,3,6,30,0,0,0,0,0,0,4,-3,97.95,0,0.866,1,0.512,294.7,90.91,-1,1000,0.0000,0.0000,N/A
2009,1,3,7,30,19,0,19,15,134,19,4,-3,88.22,4,0.866,1,0.47400000000000003,290.6,83.08,-1,1000,0.0000,0.0000,N/A
2009,1,3,8,30,59,536,156,59,536,156,1,-3,79.60000000000001,0,0.866,1.2000000000000002,0.45,288.40000000000003,82.66,0,1000,7.4354,5.6688,N/A
2009,1,3,9,30,84,708,296,84,708,296,1,-4,72.54,0,0.866,1.4000000000000001,0.431,291.1,74.26,0,1000,14.8037,11.4235,N/A
2009,1,3,10,30,91,632,332,97,790,398,4,-4,67.58,0,0.866,1.5,0.428,293.2,69.3,0,1000,17.3544,13.4761,N/A
2009,1,3,11,30,60,838,412,102,824,447,4,-5,65.23,0,0.866,1.5,0.428,294.6,65.89,0,1000,21.9379,17.0726,N/A
2009,1,3,12,30,62,812,395,98,827,438,4,-6,65.77,0,0.866,1.4000000000000001,0.428,295.40000000000003,63.72,0,1000,20.9470,16.2938,N/A
2009,1,3,13,30,84,628,307,87,790,369,4,-6,69.14,0,0.866,1.4000000000000001,0.441,292.6,62.940000000000005,0,1000,15.8365,12.2764,N/A
2009,1,3,14,30,63,562,209,67,710,252,4,-6,74.95,0,0.866,1.3,0.451,288.6,63.26,0,1000,10.2246,7.8583,N/A
2009,1,3,15,30,40,512,105,40,512,105,1,-5,82.65,0,0.866,1.3,0.44,285.40000000000003,68.85000000000001,0,1010,0.0000,0.0000,N/A
2009,1,3,16,30,0,0,0,0,0,0,1,-5,91.73,0,0.866,1.3,0.421,282.1,69.46000000000001,-1,1010,0.0000,0.0000,N/A
2009,1,3,17,30,0,0,0,0,0,0,1,-6,101.77,0,0.866,1.3,0.437,280.8,73.81,-2,1010,0.0000,0.0000,N/A
2009,1,3,18,30,0,0,0,0,0,0,1,-6,112.44,0,0.866,1.4000000000000001,0.489,281,71.65,-2,1010,0.0000,0.0000,N/A
2009,1,3,19,30,0,0,0,0,0,0,4,-6,123.45,0,0.866,1.4000000000000001,0.514,285.3,74.08,-3,1010,0.0000,0.0000,N/A
2009,1,3,20,30,0,0,0,0,0,0,4,-7,134.49,0,0.866,1.4000000000000001,0.493,291.7,70.56,-3,1010,0.0000,0.0000,N/A
2009,1,3,21,30,0,0,0,0,0,0,4,-8,145.12,0,0.866,1.4000000000000001,0.47900000000000004,296.40000000000003,72.42,-4,1010,0.0000,0.0000,N/A
2009,1,3,22,30,0,0,0,0,0,0,4,-8,154.4,0,0.866,1.4000000000000001,0.523,299,70.24,-4,1010,0.0000,0.0000,N/A
2009,1,3,23,30,0,0,0,0,0,0,1,-8,159.98,0,0.866,1.3,0.587,299.8,74.35000000000001,-5,1010,0.0000,0.0000,N/A
2009,1,4,0,30,0,0,0,0,0,0,4,-9,158.59,0,0.866,1.3,0.623,298.1,73.37,-5,1010,0.0000,0.0000,N/A
2009,1,4,1,30,0,0,0,0,0,0,1,-9,151.25,0,0.866,1.2000000000000002,0.643,294.8,78.44,-5,1010,0.0000,0.0000,N/A
2009,1,4,2,30,0,0,0,0,0,0,1,-9,141.3,0,0.866,1.2000000000000002,0.659,291.8,77.75,-6,1010,0.0000,0.0000,N/A
2009,1,4,3,30,0,0,0,0,0,0,4,-9,130.44,0,0.866,1.2000000000000002,0.672,288.40000000000003,77.3,-6,1010,0.0000,0.0000,N/A
2009,1,4,4,30,0,0,0,0,0,0,4,-9,119.36,0,0.866,1.2000000000000002,0.679,287,76.77,-6,1010,0.0000,0.0000,N/A
2009,1,4,5,30,0,0,0,0,0,0,4,-9,108.44,0,0.866,1.2000000000000002,0.674,290,82.27,-6,1010,0.0000,0.0000,N/A
2009,1,4,6,30,0,0,0,0,0,0,4,-9,97.96000000000001,0,0.866,1.2000000000000002,0.659,295.7,81.83,-6,1010,0.0000,0.0000,N/A
