Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1340803,-,-,-,42.33,-71.02,-5,0,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.0
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),
2020,1,1,0,30,0,0,0,0,0,0,4,1,158.77,0,0.02,1.7000000000000002,0.9,257,97.13,1.4000000000000001,999,0.0000,0.0000,N/A
2020,1,1,1,30,0,0,0,0,0,0,4,0.8,151.24,0,0.02,1.8,0.9,263,97.13,1.2000000000000002,999,0.0000,0.0000,N/A
2020,1,1,2,30,0,0,0,0,0,0,4,0.30000000000000004,141.21,0,0.02,1.8,0.8,263,96.59,0.8,999,0.0000,0.0000,N/A
2020,1,1,3,30,0,0,0,0,0,0,4,-0.30000000000000004,130.32,0,0.02,1.9000000000000001,0.7000000000000001,262,96.67,0.2,1000,0.0000,0.0000,N/A
2020,1,1,4,30,0,0,0,0,0,0,4,-1,119.25,0,0.02,1.8,0.7000000000000001,261,95.24,-0.30000000000000004,1000,0.0000,0.0000,N/A
2020,1,1,5,30,0,0,0,0,0,0,7,-1.6,108.35000000000001,0,0.02,1.8,0.7000000000000001,257,94.19,-0.8,1000,0.0000,0.0000,N/A
2020,1,1,6,30,0,0,0,0,0,0,0,-2,97.9,0,0.02,1.8,0.7000000000000001,253,92.51,-0.9,1000,0.0000,0.0000,N/A
2020,1,1,7,30,14,58,16,16,197,23,0,-2.1,87.9,50,0.02,1.8,0.7000000000000001,251,89.23,-0.5,1000,0.0000,0.0000,N/A
2020,1,1,8,30,43,627,157,43,627,157,0,-1.6,79.54,0,0.02,1.9000000000000001,0.7000000000000001,251,85.41,0.6000000000000001,1001,7.4831,5.7056,N/A
2020,1,1,9,30,54,781,288,54,781,288,0,-1,72.57000000000001,0,0.02,2,0.7000000000000001,256,82.66,1.6,1001,14.3996,11.1111,N/A
2020,1,1,10,30,146,309,263,60,848,382,4,-0.9,67.69,0,0.02,2.2,0.7000000000000001,262,79.65,2.3000000000000003,1001,13.7351,10.6645,N/A
2020,1,1,11,30,163,267,274,64,866,424,2,-0.8,65.41,0,0.02,2.2,0.8,265,78.96000000000001,2.5,1001,14.5701,11.3370,N/A
2020,1,1,12,30,131,404,295,64,859,413,4,-0.6000000000000001,66.02,17,0.02,2.2,0.8,266,79.31,2.6,1001,15.6139,12.1427,N/A
2020,1,1,13,30,104,506,282,59,821,347,0,-0.4,69.43,0,0.02,2.1,0.8,267,80.54,2.6,1001,14.5099,11.2442,N/A
2020,1,1,14,30,60,599,213,50,729,236,0,-0.2,75.25,0,0.02,2.1,0.8,268,84.16,2.2,1002,10.3932,7.9836,N/A
2020,1,1,15,30,36,455,92,33,518,97,0,-0.1,82.9,17,0.02,2.1,0.8,268,87.95,1.7000000000000002,1003,0.0000,0.0000,N/A
2020,1,1,16,30,0,0,0,0,0,0,4,-0.2,92.12,33,0.02,2.1,0.8,267,90.87,1.1,1004,0.0000,0.0000,N/A
2020,1,1,17,30,0,0,0,0,0,0,0,-0.5,102.17,0,0.02,2.2,0.8,266,91.26,0.8,1005,0.0000,0.0000,N/A
2020,1,1,18,30,0,0,0,0,0,0,0,-0.8,112.84,0,0.02,2.2,0.8,266,90.38,0.6000000000000001,1005,0.0000,0.0000,N/A
2020,1,1,19,30,0,0,0,0,0,0,0,-1.1,123.85000000000001,0,0.02,2.1,0.7000000000000001,266,91.34,0.1,1006,0.0000,0.0000,N/A
2020,1,1,20,30,0,0,0,0,0,0,0,-1.5,134.89000000000001,0,0.02,2.1,0.7000000000000001,264,91.15,-0.2,1006,0.0000,0.0000,N/A
2020,1,1,21,30,0,0,0,0,0,0,0,-1.7000000000000002,145.53,0,0.02,2,0.7000000000000001,262,92.26,-0.6000000000000001,1007,0.0000,0.0000,N/A
2020,1,1,22,30,0,0,0,0,0,0,0,-2,154.79,0,0.02,2,0.7000000000000001,262,92.56,-0.9,1007,0.0000,0.0000,N/A
2020,1,1,23,30,0,0,0,0,0,0,0,-2.2,160.3,0,0.02,2,0.6000000000000001,263,93.39,-1.3,1008,0.0000,0.0000,N/A
2020,1,2,0,30,0,0,0,0,0,0,0,-2.6,158.73,0,0.02,1.9000000000000001,0.6000000000000001,263,93.07000000000001,-1.6,1008,0.0000,0.0000,N/A
2020,1,2,1,30,0,0,0,0,0,0,4,-3,151.25,0,0.02,1.8,0.6000000000000001,260,94.13,-2.2,1009,0.0000,0.0000,N/A
2020,1,2,2,30,0,0,0,0,0,0,0,-3.6,141.24,0,0.02,1.7000000000000002,0.5,257,93.09,-2.6,1010,0.0000,0.0000,N/A
2020,1,2,3,30,0,0,0,0,0,0,0,-3.9000000000000004,130.36,0,0.02,1.6,0.5,254,90.79,-2.6,1010,0.0000,0.0000,N/A
2020,1,2,4,30,0,0,0,0,0,0,7,-3.9000000000000004,119.29,0,0.02,1.5,0.6000000000000001,252,89.35000000000001,-2.4000000000000004,1010,0.0000,0.0000,N/A
2020,1,2,5,30,0,0,0,0,0,0,7,-3.7,108.38,0,0.02,1.5,0.6000000000000001,250,89.25,-2.2,1011,0.0000,0.0000,N/A
2020,1,2,6,30,0,0,0,0,0,0,6,-3.6,97.92,0,0.02,1.4000000000000001,0.6000000000000001,246,88.75,-2,1011,0.0000,0.0000,N/A
2020,1,2,7,30,8,0,8,15,209,23,4,-3.5,87.9,100,0.02,1.4000000000000001,0.6000000000000001,240,85.23,-1.3,1011,0.0000,0.0000,N/A
2020,1,2,8,30,50,500,141,41,652,159,0,-2.9000000000000004,79.53,42,0.02,1.3,0.6000000000000001,235,81.01,0,1011,6.7205,5.1242,N/A
2020,1,2,9,30,113,228,181,51,803,292,4,-2.1,72.54,0,0.02,1.4000000000000001,0.6000000000000001,234,76.5,1.6,1011,9.0523,6.9853,N/A
2020,1,2,10,30,149,272,252,56,868,386,4,-1.2000000000000002,67.64,0,0.02,1.5,0.7000000000000001,236,73.83,3,1010,13.1661,10.2232,N/A
2020,1,2,11,30,168,265,279,58,892,430,4,-0.5,65.33,0,0.02,1.5,0.7000000000000001,238,71.76,4.1000000000000005,1010,14.8449,11.5516,N/A
2020,1,2,12,30,73,792,396,57,881,416,0,0.1,65.92,0,0.02,1.4000000000000001,0.8,238,72.15,4.7,1009,20.9758,16.3141,N/A
2020,1,2,13,30,77,688,320,53,837,349,0,0.9,69.31,0,0.02,1.4000000000000001,0.9,233,75.35000000000001,4.9,1009,16.4825,12.7747,N/A
2020,1,2,14,30,46,746,238,46,746,238,0,1.7000000000000002,75.12,0,0.02,1.4000000000000001,0.9,225,81.48,4.6000000000000005,1009,11.6261,8.9327,N/A
2020,1,2,15,30,31,537,99,31,537,99,0,2.1,82.77,0,0.02,1.5,0.9,219,89.72,3.6,1009,0.0000,0.0000,N/A
2020,1,2,16,30,0,0,0,0,0,0,7,1.8,91.98,33,0.02,1.6,0.9,213,92.51,2.9000000000000004,1009,0.0000,0.0000,N/A
2020,1,2,17,30,0,0,0,0,0,0,7,2,102.03,0,0.02,1.6,0.9,208,93.34,3,1009,0.0000,0.0000,N/A
2020,1,2,18,30,0,0,0,0,0,0,7,2.3000000000000003,112.7,0,0.02,1.6,0.9,206,94.47,3.1,1009,0.0000,0.0000,N/A
2020,1,2,19,30,0,0,0,0,0,0,7,2.5,123.71000000000001,0,0.02,1.6,0.9,209,94.86,3.2,1008,0.0000,0.0000,N/A
2020,1,2,20,30,0,0,0,0,0,0,7,2.6,134.75,0,0.02,1.6,1,213,94.95,3.3000000000000003,1008,0.0000,0.0000,N/A
2020,1,2,21,30,0,0,0,0,0,0,7,2.8000000000000003,145.39000000000001,0,0.02,1.6,1,219,95.57000000000001,3.4000000000000004,1008,0.0000,0.0000,N/A
2020,1,2,22,30,0,0,0,0,0,0,7,2.9000000000000004,154.66,0,0.02,1.6,1.1,225,96.18,3.5,1008,0.0000,0.0000,N/A
2020,1,2,23,30,0,0,0,0,0,0,7,3.1,160.19,0,0.02,1.6,1.2000000000000002,230,96.89,3.5,1007,0.0000,0.0000,N/A
2020,1,3,0,30,0,0,0,0,0,0,7,3.1,158.69,0,0.02,1.6,1.3,231,97.01,3.5,1007,0.0000,0.0000,N/A
2020,1,3,1,30,0,0,0,0,0,0,8,3,151.26,0,0.02,1.5,1.5,233,96.66,3.5,1006,0.0000,0.0000,N/A
2020,1,3,2,30,0,0,0,0,0,0,7,3,141.27,0,0.02,1.4000000000000001,1.6,237,96.96000000000001,3.4000000000000004,1006,0.0000,0.0000,N/A
2020,1,3,3,30,0,0,0,0,0,0,8,3,130.39000000000001,0,0.02,1.4000000000000001,1.8,241,95.98,3.6,1007,0.0000,0.0000,N/A
2020,1,3,4,30,0,0,0,0,0,0,8,3.1,119.32000000000001,0,0.02,1.3,1.9000000000000001,239,96.33,3.6,1008,0.0000,0.0000,N/A
